Country Name,2006,2007,2008,2009,2010
Belize,0.96806,1.0286,1.03903,0.98287,0.98051
Maldives,0.8265,0.93243,0.88832,0.91895,0.91895
Somalia,0.76306,0.86172,0.86754,0.89746,0.89746
Mali,0.6528,0.67137,0.70006,0.74474,0.89369
Rwanda,0.83188,0.74268,0.72452,0.72452,0.86942
Bermuda,0.64298,0.7509,0.75025,0.78151,0.81281
Eritrea,0.74435,0.70135,0.7289,0.77543,0.79824
Afghanistan,0.76142,0.82281,0.85532,0.83075,0.79021
Faroe Islands,0.78669,0.71094,0.6997,0.74437,0.74437
Liberia,0.61051,0.68008,0.69074,0.70576,0.73859
Antigua and Barbuda,0.65485,0.631,0.65897,0.68826,0.71877
American Samoa,0.60258,0.65556,0.66442,0.67919,0.68882
Greenland,0.61509,0.59981,0.6417,0.61114,0.55558
Burundi,0.36025,0.33461,0.35525,0.36946,0.5278
Guinea-Bissau,0.39057,0.40445,0.46167,0.46167,0.46167
Saint Lucia,0.37762,0.40943,0.43082,0.43082,0.43082
Grenada,0.26042,0.26138,0.28688,0.30054,0.42934
Timor-Leste (East Timor),0.3083,0.3374,0.352,0.38261,0.39531
Solomon Islands,0.19378,0.2133,0.22975,0.28719,0.35899
Saint Vincent/Grenadines,0.19231,0.19613,0.22615,0.26605,0.33256
Western Sahara,0.2695,0.28345,0.3146,0.3146,0.3146
Antarctica,0.2543,0.24476,0.26439,0.31105,0.31105
Saint Kitts and Nevis,0.18106,0.25779,0.27314,0.30349,0.30349
Cook Islands,0.07469,0.07011,0.09059,0.15099,0.30198
U.S. Pacific Islands,0.30074,0.30918,0.29446,0.29446,0.29446
"Gambia, The",0.32429,0.40246,0.37834,0.43655,0.29103
Chad,0.22546,0.26712,0.26181,0.2909,0.2909
Lesotho,0.23462,0.23841,0.23982,0.25393,0.28214
Bhutan,0.28312,0.41161,0.37656,0.33432,0.27633
Cayman Islands,0.46243,0.52843,0.48557,0.42844,0.27347
Cape Verde,0.29244,0.34454,0.32451,0.33926,0.27141
Central African Republic,0.32473,0.35731,0.33991,0.29557,0.22736
Nauru,0.17298,0.17647,0.18592,0.20282,0.21972
Tonga,0.18113,0.18639,0.20155,0.15504,0.15504
Saint Pierre and Miquelon,0.08581,0.08914,0.09159,0.10685,0.15264
Sao Tome and Principe,0.10789,0.13358,0.13523,0.15025,0.15025
Comoros,0.11452,0.1446,0.11966,0.14957,0.14957
"Virgin Islands, British",0.10166,0.11116,0.11827,0.14784,0.14784
Samoa,0.16197,0.16587,0.1769,0.14742,0.14742
Montserrat,0.07625,0.08302,0.09267,0.1471,0.1471
Vanuatu,0.09691,0.11152,0.11722,0.14652,0.14652
Dominica,0.11758,0.12125,0.12709,0.14121,0.14121
Falkland Islands (Islas Malvinas),0.04129,0.04768,0.04578,0.04578,0.04578
Kiribati,0.03805,0.04138,0.04369,0.04369,0.04369
Turks and Caicos Islands,0.01238,0.07311,0.07776,0.07776,0.03888
Saint Helena,0.01176,0.01275,0.01355,0.01506,0.01506
Niue,0.00477,0.00509,0.00544,0.0056,0.00622
